"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL103"	"PROGESTERONE"	"4.0"	"314.47"	"0"	"4.72"	"progesterone"	"CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C"	"EC50"	"'='"	"2.9"	"nM"	"8.54"	""	""	"UO_0000065"	""	""	""	""	"1"	"CHEMBL760810"	"Agonistic activity against human progesterone receptor in CV-1 cells"	"F"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"CV-1"	"None"	""	""	""	"CHEMBL208"	"Progesterone receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1145087"	"1"	"Scientific Literature"	"J Med Chem"	"2003"	"CHEMBL3308033"	""	""	""
"CHEMBL2331604"	""	"None"	"439.37"	"1"	"5.33"	"19b"	"Cc1nn(C)c(Oc2cccc(Cl)c2Cl)c1C(=O)N(Cc1cncs1)C(C)C"	"EC50"	"'='"	"60.0"	"nM"	"7.22"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL2343387"	"Agonist activity at human TGR5 receptor in CHO cells assessed as elevation of cAMP level by uninduced cAMP detection method in absence of doxycycline"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL5409"	"G-protein coupled bile acid receptor 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2331106"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2013"	"CHEMBL3308072"	""	""	""
"CHEMBL2336220"	""	"None"	"376.46"	"0"	"4.28"	"13m"	"Cc1nn(C)c(Oc2ccccc2)c1C(=O)N1CCCCC1c1cccnc1"	"EC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL2343387"	"Agonist activity at human TGR5 receptor in CHO cells assessed as elevation of cAMP level by uninduced cAMP detection method in absence of doxycycline"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL5409"	"G-protein coupled bile acid receptor 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2331106"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2013"	"CHEMBL3308072"	""	""	""
"CHEMBL2336239"	""	"None"	"428.90"	"1"	"5.08"	"7"	"Cc1nn(C)c(Oc2cccc(Cl)c2F)c1C(=O)N1CCCCC1c1cccnc1"	"EC50"	"'='"	"120.0"	"nM"	"6.92"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL2343388"	"Agonist activity at doxycycline-promoter regulated overexpressed human TGR5 receptor in CHO cells assessed as elevation of cAMP level by induced-cAMP assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL5409"	"G-protein coupled bile acid receptor 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2331106"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2013"	"CHEMBL3308072"	""	""	""
"CHEMBL2336227"	""	"None"	"431.32"	"1"	"5.20"	"14f"	"Cc1nn(C)c(Oc2cccc(Cl)c2Cl)c1C(=O)N1CCCC1c1cccnc1"	"EC50"	"'='"	"393.0"	"nM"	"6.41"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL2343388"	"Agonist activity at doxycycline-promoter regulated overexpressed human TGR5 receptor in CHO cells assessed as elevation of cAMP level by induced-cAMP assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL5409"	"G-protein coupled bile acid receptor 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2331106"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2013"	"CHEMBL3308072"	""	""	""
"CHEMBL2336225"	""	"None"	"445.35"	"1"	"5.59"	"14d"	"Cc1nn(C)c(Oc2cccc(Cl)c2Cl)c1C(=O)N1CCCCC1c1ccncc1"	"EC50"	"'='"	"3140.0"	"nM"	"5.50"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL2343388"	"Agonist activity at doxycycline-promoter regulated overexpressed human TGR5 receptor in CHO cells assessed as elevation of cAMP level by induced-cAMP assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL5409"	"G-protein coupled bile acid receptor 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2331106"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2013"	"CHEMBL3308072"	""	""	""
"CHEMBL168"	"OLEANOLIC_ACID"	"None"	"456.71"	"1"	"7.23"	"OA"	"CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1"	"EC50"	"'>'"	"100000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3366750"	"Inhibition of HIV1 gp41-induced cell-cell fusion between viral envelope expressing human HL2/3 cells to CD4/CCR5 receptor expressing TZM-bl cells after 6 to 8 hrs by luciferase assay"	"B"	"BAO_0000219"	"cell-based format"	"Human immunodeficiency virus 1"	"None"	"None"	"HL2/3"	"None"	""	""	""	"CHEMBL3559676"	"GP41"	"Human immunodeficiency virus 1"	"SINGLE PROTEIN"	"CHEMBL3351900"	"1"	"Scientific Literature"	"J Med Chem"	"2014"	"None"	""	""	""
"CHEMBL269277"	"BETULINIC ACID"	"1.0"	"456.71"	"1"	"7.09"	"1"	"C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12"	"EC50"	"'='"	"1900000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL759491"	"Cytotoxicity of compound against human prostate adenocarcinoma (PC3) using SRB assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"CHEMBL3638250"	"Prostate gland"	"PC-3"	"None"	""	""	""	"CHEMBL390"	"PC-3"	"Homo sapiens"	"CELL-LINE"	"CHEMBL1133949"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2001"	"CHEMBL3307570"	""	""	""
"CHEMBL52606"	"COLFORSIN"	"2.0"	"410.51"	"0"	"1.52"	"Colforsin"	"C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1"	"EC50"	""	""	"ug.mL-1"	""	""	"Not Determined"	"UO_0000274"	""	""	""	""	"0"	"CHEMBL764424"	"Cytotoxicity in HPBMC (Human Peripheral Blood Mononuclear Cells); Not tested"	"F"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL612558"	"ADMET"	""	"ADMET"	"CHEMBL1136231"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2003"	"None"	""	""	""
"CHEMBL135"	"ESTRADIOL"	"4.0"	"272.39"	"0"	"3.61"	"E2, 17beta-E2, estradiol"	"C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O"	"EC50"	"'='"	"0.16"	"nM"	"9.80"	""	""	"UO_0000065"	"35.96"	"0.67"	"6.19"	"24.21"	"0"	"CHEMBL3413400"	"Agonist activity at human ERalpha expressed in human HEC1 cells assessed as transcriptional activation after 24 hrs by ERE-luciferase reporter gene transfection assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEC-1"	"None"	""	""	""	"CHEMBL206"	"Estrogen receptor alpha"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3407405"	"1"	"Scientific Literature"	"J Med Chem"	"2015"	"CHEMBL3308740"	""	""	""
