Smiles,EC50 (nM),values
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,2.9,1.0
Cc1nn(C)c(Oc2cccc(Cl)c2Cl)c1C(=O)N(Cc1cncs1)C(C)C,60.0,1.0
Cc1nn(C)c(Oc2cccc(Cl)c2Cl)c1C(=O)N1CCCCC1c1ccncc1,3140.0,0.0
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1900000.0,0.0
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,0.16,1.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,6310.0,0.0
C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,23000.0,0.0
COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,4390.0,0.0
CC[C@H]1C[C@@H]2CCCC[C@]2(C)[C@H]2CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@H]3[C@H]12,2630.0,0.0
CC1C[C@@H]2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@H]3[C@H]12,16200.0,0.0
C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,3000.0,0.0
C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,13500.0,0.0
Cc1onc(-c2ccccc2Cl)c1C(=O)N(C)c1ccc(Cl)cc1,31.62,1.0
Cc1ccc(-c2noc(C)c2C(=O)N(C)c2ccc(Cl)cc2)cc1,1000.0,0.0
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,4.5,1.0
Cc1nn(C)c(Oc2cccc(Cl)c2Cl)c1C(=O)N(C)Cc1cccnc1,14.0,1.0
CCC(C)N(Cc1cccnc1)C(=O)c1c(C)nn(C)c1Oc1cccc(Cl)c1Cl,70.0,1.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,13600.0,0.0
Cc1ccccc1[C@H](C/C(=N\O)c1ccc(=O)n(C)c1)c1ccc(-c2ccc(C(=O)O)cc2)cc1,2000.0,0.0
CCn1c(=O)c2ccccc2n2c(SCc3ccc(C(F)(F)F)cc3)nnc12,1310.0,0.0
CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,2000.0,0.0
Cc1onc(-c2ccccc2Cl)c1C(=O)N(C)c1cc(Br)c(C)c(Br)c1,12.59,1.0
C[C@H]([C@H]1C[C@H]1C(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,75700.0,0.0
C[C@H]([C@@H]1C[C@@H]1C(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1330.0,0.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,20000.0,0.0
CC(=O)O[C@@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]32)C1,1490.0,0.0
Cc1coc2cc(Cl)c(Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)cc12,0.28,1.0
CCOC(=O)c1oc2cc(Cl)c(Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)cc2c1C,38.0,1.0
O=C(c1cnccc1Oc1ccc2sccc2c1)N1CCN(C2CC2)c2ccccc21,52.0,1.0
C[C@]12CC[C@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,5650.0,0.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C,1300.0,0.0
O=C(O)c1cc(F)c2nc(N3C4CCC3CC(F)(COCc3c(-c5ccccc5OC(F)(F)F)noc3C3CC3)C4)sc2c1,2520.0,0.0
C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,7010.0,0.0
C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,6.0,1.0
O=C(O)CNC(=O)CCc1cc(Cl)c(Oc2ccncc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,8000.0,0.0
CSc1ncc(C(=O)N2CCNc3ccccc32)c(Oc2cc(Cl)ccc2Cl)n1,41.0,1.0
Cc1ccc(CCNC(=O)[C@@H]2CCCN(c3ncccn3)C2)cc1,4300.0,0.0
Cc1nc(N2CCC[C@@H](C(=O)NCCc3ccc(C#N)cc3)C2)ncc1F,13.0,1.0
